month,country,confidence_index
2019-01-01,FRA,98.96428
2019-02-01,FRA,99.36896
2019-03-01,FRA,99.64821
2019-04-01,FRA,99.83795
2019-05-01,FRA,100.0668
2019-06-01,FRA,100.2627
2019-07-01,FRA,100.4418
2019-08-01,FRA,100.5379
2019-09-01,FRA,100.6377
2019-10-01,FRA,100.6515
2019-11-01,FRA,100.5502
2019-12-01,FRA,100.2734
2020-01-01,FRA,100.0377
2020-02-01,FRA,99.60508
2020-03-01,FRA,98.725
2020-04-01,FRA,97.90365
2020-05-01,FRA,97.99046
2020-06-01,FRA,98.59377
2020-07-01,FRA,99.05451
2020-08-01,FRA,99.21407
2020-09-01,FRA,99.1345
2020-10-01,FRA,98.80971
2020-11-01,FRA,98.5554
2020-12-01,FRA,98.73891
2021-01-01,FRA,98.8177
2021-02-01,FRA,99.01839
2021-03-01,FRA,99.53362
2021-04-01,FRA,100.1661
2021-05-01,FRA,100.9518
2021-06-01,FRA,101.5271
2021-07-01,FRA,101.5076
2021-08-01,FRA,101.2577
2021-09-01,FRA,101.1339
2021-10-01,FRA,100.8556
2021-11-01,FRA,100.56
2021-12-01,FRA,100.2264
2022-01-01,FRA,99.79118
2022-02-01,FRA,99.06742
2022-03-01,FRA,97.94714
2022-04-01,FRA,97.35798
2022-05-01,FRA,97.09818
2022-06-01,FRA,96.91719
2022-07-01,FRA,96.87904
2022-08-01,FRA,96.94826
2022-09-01,FRA,96.89874
2022-10-01,FRA,96.99467
2022-11-01,FRA,97.10883
2022-12-01,FRA,97.04049
2023-01-01,FRA,96.94457
2023-02-01,FRA,96.90842
2023-03-01,FRA,97.07362
2023-04-01,FRA,97.43934
2023-05-01,FRA,97.90403
2023-06-01,FRA,98.31367
2023-07-01,FRA,98.48853
2023-08-01,FRA,98.43439
2023-09-01,FRA,98.32286
2023-10-01,FRA,98.36451
2023-11-01,FRA,98.63578
2023-12-01,FRA,98.85629
2024-01-01,FRA,98.94536
2024-02-01,FRA,98.80146
2024-03-01,FRA,98.67883
2024-04-01,FRA,98.55529
2024-05-01,FRA,98.56528
2024-06-01,FRA,98.58022
2024-07-01,FRA,98.66406
2024-08-01,FRA,98.87737
2024-09-01,FRA,98.98643
2024-10-01,FRA,98.81914
2024-11-01,FRA,98.49217
2024-12-01,FRA,98.31963
2018-01-01,KOR,101.5738
2018-02-01,KOR,101.4367
2018-03-01,KOR,101.3367
2018-04-01,KOR,101.2422
2018-05-01,KOR,101.1011
2018-06-01,KOR,100.7905
2018-07-01,KOR,100.388
2018-08-01,KOR,100.0924
2018-09-01,KOR,99.93331
2018-10-01,KOR,99.77856
2018-11-01,KOR,99.62276
2018-12-01,KOR,99.62671
2019-01-01,KOR,99.75367
2019-02-01,KOR,99.93857
2019-03-01,KOR,100.062
2019-04-01,KOR,100.0687
2019-05-01,KOR,99.87234
2019-06-01,KOR,99.63827
2019-07-01,KOR,99.4165
2019-08-01,KOR,99.33262
2019-09-01,KOR,99.56422
2019-10-01,KOR,99.90512
2019-11-01,KOR,100.2122
2019-12-01,KOR,100.3098
2020-01-01,KOR,100.0146
2020-02-01,KOR,98.98035
2020-03-01,KOR,97.54134
2020-04-01,KOR,96.66438
2020-05-01,KOR,96.70323
2020-06-01,KOR,97.14973
2020-07-01,KOR,97.59086
2020-08-01,KOR,97.88288
2020-09-01,KOR,98.05656
2020-10-01,KOR,98.60249
2020-11-01,KOR,99.02729
2020-12-01,KOR,99.08295
2021-01-01,KOR,99.26573
2021-02-01,KOR,99.577
2021-03-01,KOR,99.97552
2021-04-01,KOR,100.3837
2021-05-01,KOR,100.7508
2021-06-01,KOR,100.9194
2021-07-01,KOR,100.7195
2021-08-01,KOR,100.5799
2021-09-01,KOR,100.645
2021-10-01,KOR,100.8143
2021-11-01,KOR,100.8638
2021-12-01,KOR,100.7397
2022-01-01,KOR,100.6378
2022-02-01,KOR,100.5654
2022-03-01,KOR,100.5297
2022-04-01,KOR,100.4077
2022-05-01,KOR,100.0113
2022-06-01,KOR,99.2954
2022-07-01,KOR,98.58168
2022-08-01,KOR,98.33585
2022-09-01,KOR,98.32281
2022-10-01,KOR,98.2566
2022-11-01,KOR,98.21754
2022-12-01,KOR,98.32874
2023-01-01,KOR,98.44878
2023-02-01,KOR,98.58012
2023-03-01,KOR,98.8356
2023-04-01,KOR,99.2206
2023-05-01,KOR,99.65166
2023-06-01,KOR,100.0335
2023-07-01,KOR,100.2607
2023-08-01,KOR,100.2258
2023-09-01,KOR,99.98191
2023-10-01,KOR,99.76266
2023-11-01,KOR,99.70695
2023-12-01,KOR,99.84708
2024-01-01,KOR,100.0202
2024-02-01,KOR,100.0889
2024-03-01,KOR,100.0425
2024-04-01,KOR,99.9715
2024-05-01,KOR,99.94083
